Date,Ticker,compound,neg,neu,pos
2021-04-07,AMC,0.34,0.094,0.743,0.163
2021-04-07,AMC,0.5106,0.16,0.497,0.343
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-07,AMC,0.0,0.0,1.0,0.0
2021-04-07,AMC,-0.4215,0.207,0.688,0.105
2021-04-07,AMC,-0.3818,0.12,0.88,0.0
2021-04-07,AMC,0.34,0.094,0.743,0.163
2021-04-07,AMC,-0.3182,0.103,0.897,0.0
2021-04-07,AMC,0.0,0.0,1.0,0.0
2021-04-07,AMC,0.2584,0.0,0.775,0.225
2021-04-07,AMC,0.0,0.0,1.0,0.0
2021-04-07,AMC,-0.3885,0.17,0.754,0.075
2021-04-07,AMC,0.692,0.0,0.71,0.29
2021-04-07,AMC,0.0,0.0,1.0,0.0
2021-04-07,AMC,0.25,0.113,0.67,0.216
2021-04-07,AMC,0.0,0.0,1.0,0.0
2021-04-07,AMC,-0.4118,0.111,0.889,0.0
2021-04-07,AMC,0.25,0.113,0.67,0.216
2021-04-07,AMC,0.25,0.113,0.67,0.216
2021-04-07,AMC,0.34,0.094,0.743,0.163
2021-04-07,AMC,0.0,0.0,1.0,0.0
2021-04-07,AMC,0.2584,0.0,0.775,0.225
2021-04-07,AMC,0.0,0.0,1.0,0.0
2021-04-07,AMC,-0.4215,0.104,0.896,0.0
2021-04-07,AMC,0.4588,0.0,0.0,1.0
2021-04-07,AMC,0.0,0.0,1.0,0.0
2021-04-07,AMC,0.4215,0.0,0.833,0.167
2021-04-07,AMC,0.0,0.0,1.0,0.0
2021-04-07,AMC,0.0,0.0,1.0,0.0
2021-04-07,AMC,-0.2006,0.152,0.848,0.0
2021-04-07,AMC,0.4754,0.0,0.564,0.436
2021-04-07,AMC,0.6369,0.0,0.543,0.457
2021-04-07,AMC,0.0,0.0,1.0,0.0
2021-04-07,AMC,-0.5574,0.286,0.714,0.0
2021-04-07,AMC,-0.3818,0.115,0.885,0.0
2021-04-07,AMC,0.3612,0.0,0.898,0.102
2021-04-07,AMC,0.0,0.0,1.0,0.0
2021-04-07,AMC,0.25,0.113,0.67,0.216
2021-04-07,AMC,0.25,0.113,0.67,0.216
2021-04-07,AMC,0.25,0.113,0.67,0.216
2021-04-07,AMC,0.4215,0.0,0.833,0.167
2021-04-07,AMC,0.0,0.0,1.0,0.0
2021-04-07,AMC,0.765,0.0,0.703,0.297
2021-04-07,AMC,0.0,0.0,1.0,0.0
2021-04-07,AMC,-0.7717,0.259,0.741,0.0
2021-04-07,AMC,0.0,0.0,1.0,0.0
2021-04-07,AMC,-0.6486,0.227,0.773,0.0
2021-04-07,AMC,0.0,0.0,1.0,0.0
2021-04-07,AMC,0.0,0.0,1.0,0.0
2021-04-07,AMC,0.2023,0.0,0.893,0.107
2021-04-07,AMC,0.34,0.098,0.709,0.193
2021-04-07,AMC,0.0,0.0,1.0,0.0
2021-04-07,AMC,0.507,0.0,0.859,0.141
2021-04-07,AMC,0.0,0.0,1.0,0.0
2021-04-07,AMC,0.34,0.094,0.743,0.163
2021-04-07,AMC,0.25,0.113,0.67,0.216
2021-04-07,AMC,-0.6486,0.177,0.823,0.0
2021-04-07,AMC,-0.2006,0.152,0.848,0.0
2021-04-07,AMC,0.0,0.0,1.0,0.0
2021-04-07,AMC,0.0,0.0,1.0,0.0
2021-04-07,AMC,0.0,0.0,1.0,0.0
2021-04-07,AMC,0.7546,0.059,0.624,0.317
2021-04-07,AMC,0.34,0.123,0.637,0.24
2021-04-07,AMC,0.0,0.0,1.0,0.0
2021-04-07,AMC,0.4939,0.0,0.868,0.132
2021-04-07,AMC,0.7003,0.0,0.674,0.326
2021-04-07,AMC,0.4588,0.0,0.667,0.333
2021-04-07,AMC,0.25,0.113,0.67,0.216
2021-04-07,AMC,0.6369,0.0,0.656,0.344
2021-04-07,AMC,0.4215,0.0,0.833,0.167
2021-04-07,AMC,0.0,0.0,1.0,0.0
2021-04-07,AMC,0.0,0.0,1.0,0.0
2021-04-07,AMC,0.0,0.0,1.0,0.0
2021-04-07,AMC,-0.6808,0.237,0.763,0.0
2021-04-07,AMC,0.3182,0.0,0.635,0.365
2021-04-07,AMC,-0.6597,0.204,0.796,0.0
2021-04-07,AMC,0.4215,0.0,0.833,0.167
2021-04-07,AMC,0.0,0.0,1.0,0.0
2021-04-07,AMC,0.0,0.0,1.0,0.0
2021-04-07,AMC,0.0,0.0,1.0,0.0
2021-04-07,AMC,0.25,0.113,0.67,0.216
2021-04-07,AMC,0.5106,0.0,0.68,0.32
2021-04-07,AMC,0.25,0.113,0.67,0.216
2021-04-07,AMC,0.25,0.113,0.67,0.216
2021-04-07,AMC,-0.8374,0.274,0.726,0.0
2021-04-07,AMC,0.0,0.0,1.0,0.0
2021-04-07,AMC,0.34,0.094,0.743,0.163
2021-04-07,AMC,0.0,0.0,1.0,0.0
2021-04-07,AMC,0.0,0.0,1.0,0.0
2021-04-07,AMC,0.0,0.0,1.0,0.0
2021-04-07,AMC,0.3612,0.0,0.878,0.122
2021-04-07,AMC,0.5478,0.095,0.686,0.219
2021-04-07,AMC,-0.4019,0.351,0.649,0.0
2021-04-07,AMC,0.25,0.113,0.67,0.216
2021-04-07,AMC,0.25,0.113,0.67,0.216
2021-04-07,AMC,0.0,0.0,1.0,0.0
2021-04-07,AMC,0.25,0.113,0.67,0.216
2021-04-07,AMC,0.25,0.113,0.67,0.216
2021-04-07,AMC,0.25,0.113,0.67,0.216
2021-04-07,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,-0.3818,0.126,0.874,0.0
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.1779,0.0,0.855,0.145
2021-04-06,AMC,0.4939,0.093,0.593,0.314
2021-04-06,AMC,0.4215,0.0,0.517,0.483
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.1531,0.176,0.667,0.157
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.3612,0.0,0.8,0.2
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.3182,0.0,0.85,0.15
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.1999,0.084,0.8,0.116
2021-04-06,AMC,0.6068,0.0,0.763,0.237
2021-04-06,AMC,0.3612,0.0,0.8,0.2
2021-04-06,AMC,-0.3869,0.396,0.604,0.0
2021-04-06,AMC,0.1779,0.109,0.746,0.144
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,-0.1531,0.147,0.737,0.116
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.7184,0.0,0.667,0.333
2021-04-06,AMC,0.8402,0.0,0.69,0.31
2021-04-06,AMC,0.836,0.0,0.473,0.527
2021-04-06,AMC,0.4404,0.0,0.58,0.42
2021-04-06,AMC,0.0258,0.148,0.741,0.111
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.1531,0.176,0.667,0.157
2021-04-06,AMC,0.8271,0.0,0.609,0.391
2021-04-06,AMC,0.3612,0.0,0.8,0.2
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.5719,0.064,0.69,0.246
2021-04-06,AMC,0.2732,0.045,0.868,0.087
2021-04-06,AMC,-0.7501,0.285,0.715,0.0
2021-04-06,AMC,-0.1779,0.086,0.914,0.0
2021-04-06,AMC,-0.4019,0.172,0.828,0.0
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.3612,0.0,0.8,0.2
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.6124,0.0,0.722,0.278
2021-04-06,AMC,0.5473,0.0,0.819,0.181
2021-04-06,AMC,0.3919,0.0,0.852,0.148
2021-04-06,AMC,0.3612,0.0,0.8,0.2
2021-04-06,AMC,0.3182,0.0,0.874,0.126
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.3612,0.0,0.706,0.294
2021-04-06,AMC,0.2792,0.056,0.83,0.114
2021-04-06,AMC,0.4122,0.0,0.744,0.256
