Ticker,Date,compound,neg,neu,pos
AMC,2021-04-07,0.0,0.0,1.0,0.0
AMC,2021-04-07,0.5267,0.0,0.645,0.355
AMC,2021-04-07,0.0,0.0,1.0,0.0
AMC,2021-04-07,-0.7717,0.148,0.815,0.037
AMC,2021-04-07,0.0,0.0,1.0,0.0
AMC,2021-04-07,0.4278,0.0,0.585,0.415
AMC,2021-04-07,0.0,0.0,1.0,0.0
AMC,2021-04-07,0.0,0.0,1.0,0.0
AMC,2021-04-07,-0.8074,0.399,0.601,0.0
AMC,2021-04-07,0.0,0.0,1.0,0.0
AMC,2021-04-07,0.0,0.0,1.0,0.0
AMC,2021-04-07,0.0,0.0,1.0,0.0
AMC,2021-04-07,0.0,0.0,1.0,0.0
AMC,2021-04-07,0.4404,0.0,0.828,0.172
AMC,2021-04-07,0.8519,0.0,0.661,0.339
AMC,2021-04-07,-0.5719,0.198,0.802,0.0
AMC,2021-04-07,0.7579,0.0,0.84,0.16
AMC,2021-04-07,0.3182,0.0,0.813,0.187
AMC,2021-04-07,0.3182,0.0,0.813,0.187
AMC,2021-04-07,0.0,0.0,1.0,0.0
AMC,2021-04-07,0.8859,0.033,0.742,0.225
AMC,2021-04-07,0.0,0.0,1.0,0.0
AMC,2021-04-07,0.3818,0.0,0.698,0.302
AMC,2021-04-07,0.7876,0.0,0.751,0.249
AMC,2021-04-07,0.0,0.0,1.0,0.0
AMC,2021-04-07,0.0,0.0,1.0,0.0
AMC,2021-04-07,0.0,0.0,1.0,0.0
AMC,2021-04-07,0.2732,0.0,0.84,0.16
AMC,2021-04-07,0.8636,0.0,0.32,0.68
AMC,2021-04-07,0.3612,0.0,0.865,0.135
AMC,2021-04-07,0.3612,0.0,0.839,0.161
AMC,2021-04-07,-0.2263,0.213,0.787,0.0
AMC,2021-04-07,0.0,0.0,1.0,0.0
AMC,2021-04-07,0.0,0.0,1.0,0.0
AMC,2021-04-07,0.765,0.0,0.852,0.148
AMC,2021-04-07,0.0,0.0,1.0,0.0
AMC,2021-04-07,0.0,0.0,1.0,0.0
AMC,2021-04-07,0.0,0.0,1.0,0.0
AMC,2021-04-07,0.0,0.0,1.0,0.0
AMC,2021-04-07,0.3612,0.0,0.815,0.185
AMC,2021-04-07,0.0,0.0,1.0,0.0
AMC,2021-04-07,-0.3089,0.124,0.876,0.0
AMC,2021-04-07,0.5994,0.0,0.874,0.126
AMC,2021-04-07,0.5106,0.0,0.476,0.524
AMC,2021-04-07,-0.2732,0.188,0.681,0.131
AMC,2021-04-07,0.659,0.0,0.722,0.278
AMC,2021-04-07,0.0,0.0,1.0,0.0
AMC,2021-04-07,0.296,0.0,0.761,0.239
AMC,2021-04-07,0.5859,0.0,0.696,0.304
AMC,2021-04-07,0.7067,0.025,0.867,0.108
AMC,2021-04-07,0.0,0.0,1.0,0.0
AMC,2021-04-07,0.0,0.0,1.0,0.0
AMC,2021-04-07,0.0,0.0,1.0,0.0
AMC,2021-04-06,0.0,0.0,1.0,0.0
AMC,2021-04-06,0.876,0.0,0.769,0.231
AMC,2021-04-06,0.0,0.0,1.0,0.0
AMC,2021-04-06,0.0,0.0,1.0,0.0
AMC,2021-04-06,0.0,0.0,1.0,0.0
AMC,2021-04-06,0.0,0.0,1.0,0.0
AMC,2021-04-06,-0.4019,0.162,0.838,0.0
AMC,2021-04-06,0.8271,0.06,0.671,0.269
AMC,2021-04-06,0.0,0.0,1.0,0.0
AMC,2021-04-06,0.0,0.0,1.0,0.0
AMC,2021-04-06,0.0,0.0,1.0,0.0
AMC,2021-04-06,0.5423,0.0,0.696,0.304
AMC,2021-04-06,0.0,0.0,1.0,0.0
AMC,2021-04-06,0.0,0.0,1.0,0.0
AMC,2021-04-06,0.3034,0.0,0.853,0.147
AMC,2021-04-06,0.0,0.0,1.0,0.0
AMC,2021-04-06,-0.4215,0.286,0.714,0.0
AMC,2021-04-06,-0.5106,0.136,0.864,0.0
AMC,2021-04-06,0.0,0.0,1.0,0.0
AMC,2021-04-06,0.0,0.0,1.0,0.0
AMC,2021-04-06,0.0,0.0,1.0,0.0
AMC,2021-04-06,0.2732,0.0,0.851,0.149
AMC,2021-04-06,0.0,0.0,1.0,0.0
AMC,2021-04-06,0.6289,0.0,0.682,0.318
AMC,2021-04-06,-0.5574,0.231,0.769,0.0
AMC,2021-04-06,0.0,0.0,1.0,0.0
AMC,2021-04-06,0.4648,0.0,0.698,0.302
AMC,2021-04-06,0.4648,0.0,0.725,0.275
AMC,2021-04-05,0.0,0.0,1.0,0.0
AMC,2021-04-05,0.5106,0.0,0.619,0.381
AMC,2021-04-05,0.0,0.0,1.0,0.0
AMC,2021-04-05,0.0,0.0,1.0,0.0
AMC,2021-04-05,-0.4019,0.197,0.803,0.0
AMC,2021-04-05,-0.8519,0.337,0.578,0.085
AMC,2021-04-05,0.6369,0.0,0.625,0.375
AMC,2021-04-05,0.0,0.0,1.0,0.0
AMC,2021-04-05,0.6369,0.0,0.625,0.375
AMC,2021-04-05,0.5688,0.0,0.818,0.182
AMC,2021-04-05,0.0,0.0,1.0,0.0
AMC,2021-04-05,0.5106,0.0,0.784,0.216
AMC,2021-04-05,0.4019,0.0,0.426,0.574
AMC,2021-04-05,0.6808,0.135,0.608,0.257
AMC,2021-04-05,0.0,0.0,1.0,0.0
AMC,2021-04-05,0.6808,0.14,0.594,0.266
AMC,2021-04-05,0.34,0.0,0.789,0.211
AMC,2021-04-05,0.0,0.0,1.0,0.0
AMC,2021-04-05,0.3932,0.059,0.801,0.14
AMC,2021-04-05,0.3716,0.068,0.795,0.137
AMC,2021-04-05,0.5251,0.065,0.769,0.165
AMC,2021-04-05,0.6652,0.0,0.81,0.19
AMC,2021-04-05,0.7351,0.0,0.592,0.408
AMC,2021-04-05,0.6369,0.0,0.769,0.231
AMC,2021-04-05,0.3919,0.0,0.872,0.128
AMC,2021-04-05,0.5622,0.1,0.635,0.265
AMC,2021-04-05,0.0,0.0,1.0,0.0
AMC,2021-04-05,0.3612,0.0,0.839,0.161
AMC,2021-04-05,0.5106,0.0,0.619,0.381
AMC,2021-04-05,0.34,0.0,0.745,0.255
AMC,2021-04-05,0.0,0.0,1.0,0.0
AMC,2021-04-05,0.0,0.0,1.0,0.0
AMC,2021-04-05,-0.5574,0.231,0.769,0.0
AMC,2021-04-05,0.0,0.0,1.0,0.0
AMC,2021-04-05,0.0,0.0,1.0,0.0
AMC,2021-04-05,0.0,0.0,1.0,0.0
AMC,2021-04-05,0.3182,0.0,0.796,0.204
AMC,2021-04-05,0.0,0.0,1.0,0.0
AMC,2021-04-05,0.0,0.0,1.0,0.0
AMC,2021-04-05,0.0,0.0,1.0,0.0
AMC,2021-04-05,0.0,0.0,1.0,0.0
AMC,2021-04-05,0.0,0.0,1.0,0.0
AMC,2021-04-05,0.0,0.0,1.0,0.0
AMC,2021-04-05,0.0,0.0,1.0,0.0
AMC,2021-04-05,-0.0516,0.085,0.915,0.0
AMC,2021-04-05,0.0,0.0,1.0,0.0
AMC,2021-04-05,0.4404,0.0,0.674,0.326
AMC,2021-04-05,0.0,0.0,1.0,0.0
AMC,2021-04-05,0.0,0.0,1.0,0.0
AMC,2021-04-05,0.0,0.0,1.0,0.0
AMC,2021-04-05,0.4404,0.0,0.884,0.116
AMC,2021-04-05,0.0,0.0,1.0,0.0
AMC,2021-04-05,0.0,0.0,1.0,0.0
AMC,2021-04-05,0.0,0.0,1.0,0.0
AMC,2021-04-05,0.128,0.192,0.571,0.237
AMC,2021-04-05,0.0,0.0,1.0,0.0
AMC,2021-04-05,-0.296,0.167,0.833,0.0
AMC,2021-04-05,0.1154,0.0,0.925,0.075
AMC,2021-04-05,0.0,0.0,1.0,0.0
AMC,2021-04-04,0.0,0.0,1.0,0.0
AMC,2021-04-04,0.765,0.0,0.513,0.487
AMC,2021-04-04,0.0,0.0,1.0,0.0
AMC,2021-04-04,0.0,0.0,1.0,0.0
AMC,2021-04-04,-0.3412,0.231,0.769,0.0
AMC,2021-04-04,-0.2732,0.296,0.704,0.0
AMC,2021-04-04,0.4215,0.084,0.751,0.165
AMC,2021-04-04,0.0,0.0,1.0,0.0
AMC,2021-04-04,0.0772,0.158,0.667,0.176
AMC,2021-04-04,0.0,0.0,1.0,0.0
AMC,2021-04-04,0.2894,0.052,0.859,0.089
AMC,2021-04-04,0.0,0.0,1.0,0.0
AMC,2021-04-04,0.0772,0.0,0.86,0.14
AMC,2021-04-04,0.4404,0.0,0.633,0.367
AMC,2021-04-04,-0.4019,0.73,0.27,0.0
AMC,2021-04-04,0.0,0.0,1.0,0.0
AMC,2021-04-04,0.34,0.0,0.854,0.146
AMC,2021-04-04,0.4404,0.0,0.408,0.592
AMC,2021-04-04,0.4404,0.0,0.408,0.592
AMC,2021-04-04,0.4404,0.0,0.408,0.592
AMC,2021-04-04,0.4278,0.0,0.857,0.143
AMC,2021-04-04,-0.4648,0.503,0.497,0.0
AMC,2021-04-04,0.5719,0.0,0.748,0.252
AMC,2021-04-04,0.3071,0.13,0.733,0.137
AMC,2021-04-04,0.296,0.0,0.761,0.239
AMC,2021-04-04,0.0,0.0,1.0,0.0
AMC,2021-04-04,0.0,0.0,1.0,0.0
AMC,2021-04-04,0.0,0.0,1.0,0.0
AMC,2021-04-04,0.296,0.0,0.909,0.091
AMC,2021-04-04,0.0,0.0,1.0,0.0
AMC,2021-04-04,0.0,0.0,1.0,0.0
AMC,2021-04-04,0.3182,0.0,0.723,0.277
AMC,2021-04-04,0.0,0.0,1.0,0.0
AMC,2021-04-04,0.2732,0.0,0.588,0.412
AMC,2021-04-04,0.0,0.0,1.0,0.0
AMC,2021-04-04,0.4019,0.0,0.526,0.474
AMC,2021-04-04,0.2732,0.0,0.588,0.412
AMC,2021-04-03,-0.4466,0.246,0.754,0.0
AMC,2021-04-03,0.0,0.0,1.0,0.0
AMC,2021-04-03,0.0,0.0,1.0,0.0
AMC,2021-04-03,0.296,0.0,0.833,0.167
AMC,2021-04-03,0.0,0.0,1.0,0.0
AMC,2021-04-03,0.0,0.0,1.0,0.0
AMC,2021-04-03,0.34,0.0,0.893,0.107
AMC,2021-04-03,0.3716,0.0,0.836,0.164
AMC,2021-04-03,0.0,0.0,1.0,0.0
AMC,2021-04-03,-0.8126,0.425,0.575,0.0
AMC,2021-04-03,-0.7384,0.329,0.574,0.097
AMC,2021-04-03,0.0,0.0,1.0,0.0
AMC,2021-04-03,0.0,0.0,1.0,0.0
AMC,2021-04-03,0.0,0.0,1.0,0.0
AMC,2021-04-03,0.0,0.0,1.0,0.0
AMC,2021-04-03,-0.4824,0.239,0.761,0.0
AMC,2021-04-03,0.4588,0.0,0.5,0.5
AMC,2021-04-03,0.0,0.0,1.0,0.0
AMC,2021-04-03,0.0,0.0,1.0,0.0
AMC,2021-04-03,0.0,0.0,1.0,0.0
AMC,2021-04-03,-0.7506,0.286,0.714,0.0
AMC,2021-04-03,0.5859,0.0,0.648,0.352
AMC,2021-04-03,0.0,0.0,1.0,0.0
AMC,2021-04-03,-0.3182,0.161,0.839,0.0
AMC,2021-04-03,0.0,0.0,1.0,0.0
AMC,2021-04-03,0.0,0.0,1.0,0.0
AMC,2021-04-03,0.4466,0.0,0.773,0.227
AMC,2021-04-03,0.0,0.0,1.0,0.0
AMC,2021-04-03,-0.2263,0.312,0.459,0.229
AMC,2021-04-03,0.5702,0.0,0.857,0.143
AMC,2021-04-03,0.34,0.0,0.893,0.107
AMC,2021-04-03,0.6166,0.0,0.825,0.175
AMC,2021-04-03,0.4404,0.0,0.508,0.492
AMC,2021-04-03,0.25,0.0,0.857,0.143
AMC,2021-04-03,0.0,0.0,1.0,0.0
AMC,2021-04-03,0.3919,0.0,0.841,0.159
AMC,2021-04-03,0.3182,0.0,0.685,0.315
AMC,2021-04-02,0.34,0.0,0.625,0.375
AMC,2021-04-02,0.0,0.0,1.0,0.0
AMC,2021-04-02,0.0,0.0,1.0,0.0
AMC,2021-04-02,0.0,0.0,1.0,0.0
AMC,2021-04-02,-0.7003,0.492,0.508,0.0
AMC,2021-04-02,0.0,0.0,1.0,0.0
AMC,2021-04-02,0.1779,0.0,0.855,0.145
AMC,2021-04-02,-0.1531,0.207,0.61,0.183
