id,date,tweet
1244769087680634882,2020-03-30 23:30:51+00:00,7:30 better get to where u need to get before 8pm 👀
1244715134674767874,2020-03-30 19:56:28+00:00,just tried playing that puffle rescue gme n now i hav a headache &lt;/3
1244691261807898625,2020-03-30 18:21:36+00:00,Happy #NationalDoctorsDay to my resident daughter #DrKendallBradley to you and your courageous #residents and #fellows Stay safe and strong; grateful @FeaginLeaders #GME #COVID19
1244689718803120130,2020-03-30 18:15:28+00:00,Happy #NationalDoctorsDay grateful for all of you AND your team members -inspirational to have you on the front lines to care for us during  #COVID19 you deserve our best? Let’s bring it #COVIDTESTINGNOW #PPE #VentilatorsNow #icuBeds @AtulGroverMD
1244660735843741698,2020-03-30 16:20:18+00:00,Motivation Is The Key To Life
1244660134942556161,2020-03-30 16:17:55+00:00,Never trade respect for attention..
1244659989853220866,2020-03-30 16:17:20+00:00,Accept no one's definition of your life; define yourself.
1244659079949189120,2020-03-30 16:13:43+00:00,I'm not in the mood for any dumb shit today
1244658656102289409,2020-03-30 16:12:02+00:00,My facial hair will connect this year.. I'm claiming it 👌🏾
1244647772688695296,2020-03-30 15:28:48+00:00,Good morning 🦠 🌎
1244645088359329792,2020-03-30 15:18:08+00:00,Hogan said after 8pm tonight shit is done
1244642317295923201,2020-03-30 15:07:07+00:00,"Another Day, Another Blessing #DailyTweet"
1244640543637938178,2020-03-30 15:00:04+00:00,"Notable activity on social media in the past 2 weeks

$SPOT - Up
$MSFT - Up
$FB - Up
$CSCO - Up
$NVDA - Up
$WEC - Up
$PEP - Up
$AMZN - Down
$GPRO - Up
$GME - Down"
1244637863632928768,2020-03-30 14:49:25+00:00,"On #DoctorsDay, I am thankful for the clear communication, accessibility, and transparency of the doctors in our hospital/GME leadership and COVID taskforce. I am also thankful to my colleagues here and across the country who are stepping up in these trying times. 😊 to be a👩‍⚕️!"
1244628842997743617,2020-03-30 14:13:34+00:00,"While the country continues to adapt to the change and uncertainty of #COVID19 the future still holds so much promise for the future of healthcare and medicine 
#GME #DOProud #LetsDOThis #ChooseDO @NBOME @NationalSOMA @AACOMmunities @AOAforDOs @COSGP @theNRMP"
1244610315213553664,2020-03-30 12:59:57+00:00,"Happy #DoctorsDay to the physicians making a difference around the world during this difficult time. Ocala EM is proud of its faculty  and residents for helping shape the next generation of Emergency Medicine
#EmergencyMedicine #gme #ocala"
1244492886282027008,2020-03-30 05:13:20+00:00,need gme to play but no game to play
1244478175339581440,2020-03-30 04:14:52+00:00,Man somebody find my baby mama and tell her I did my 17 years I’m fresh out #Empire
1244385350316851200,2020-03-29 22:06:01+00:00,Gettin Money Everyday GME
1244354879352639489,2020-03-29 20:04:56+00:00,AlbertLee GME - Lyft
1244343393033113605,2020-03-29 19:19:18+00:00,We need to get @battlesfanatic on Ruin Your Day Watch @AvocadoIsGod whenever this Coronavirus pass
1244338551854108673,2020-03-29 19:00:04+00:00,"Notable activity on social media in the past week

$SPOT - Up
$FB - Up
$TM - Up
$GOOG - Up
$CSCO - Up
$NFLX - Up
$WEC - Up
$MCD - Down
$GME - Down
$NVDA - Up"
1244332503097389059,2020-03-29 18:36:01+00:00,"Stage 3 ACGME pandemic emergency in place by GME including rheum fellows. Continuity clinics continue unless we're deployed. Specialty requirements are suspended for the time being including case management presentations, journal club, research &amp; QI projects, procedure logs."
1244321923078578177,2020-03-29 17:53:59+00:00,Nasty_basty69 Skype gme
1244309031121874944,2020-03-29 17:02:45+00:00,Things change and now I'm watching ppl do the same
1244308628632461313,2020-03-29 17:01:09+00:00,I remember those commercials
1244308570667089923,2020-03-29 17:00:56+00:00,"Money can't buy you happiness but it can make you feel good. For everything else, ""There's MasterCard"" lol"
1244307658502475777,2020-03-29 16:57:18+00:00,"Don't give up what you want most, for what you want now."
1244277596449374208,2020-03-29 14:57:51+00:00,Good morning ☀️
1244277498659196930,2020-03-29 14:57:27+00:00,"Another Day, Another Blessing #DailyTweet"
1244081640567169024,2020-03-29 01:59:11+00:00,But still being able to make lil moves in the process
1244081534199611394,2020-03-29 01:58:46+00:00,Like I’ve been up tell late late pass my usual late time
1244081381787029505,2020-03-29 01:58:09+00:00,I will say with all this going on I really have no need to pay attention to the time
1244080535053492225,2020-03-29 01:54:48+00:00,Had to tell my cuz earlier he better get a hobby fr during this quarantine times we in
1244080183574966272,2020-03-29 01:53:24+00:00,Wouldn’t change it for the 🌎 tho
1244080062896443393,2020-03-29 01:52:55+00:00,I love my son to death 💀 but he so weird at times lol 😂
1244079527111860226,2020-03-29 01:50:47+00:00,I’m mad I don’t have any pair of regular headphones 🎧😩
1244021619934277634,2020-03-28 22:00:41+00:00,$GME [Mar-27 4.00 Calls] Option volume Up +121.43% |  Volume: 527 vs 238|
1243994193556627456,2020-03-28 20:11:42+00:00,I don't take nothing or anyone for GRANTED cuz I work harder than most to get what i deserve or want in My Life
1243990314416844800,2020-03-28 19:56:17+00:00,"In the end, it's not going to matter how many breaths you took, but how many moments took your breath away."
1243989095610830850,2020-03-28 19:51:27+00:00,Don't be a social network gangsta or snitch either nobody likes a tattletale
1243987406740750336,2020-03-28 19:44:44+00:00,Everything happens when it needs to happen; everyone is always where they need to be.
1243987308061306880,2020-03-28 19:44:21+00:00,"I’m so comfortable with the man, I’m transforming into on the daily."
1243976164991008769,2020-03-28 19:00:04+00:00,"Notable activity on social media in the past week

$GOOG - Up
$SPOT - Up
$FB - Up
$CSCO - Up
$GME - Down
$NVDA - Up
$WEC - Up
$TM - Up
$NFLX - Up
$FXNC - Up"
1243907291902087170,2020-03-28 14:26:23+00:00,"Current morning routine- wake up, review current COVID-19 data, consider best way to protect family today, sigh, close eyes, take a few deep breathes, open eyes, get out of bed and begin the journey into the unknown. #COVID19 #NewDay #StayAtHomeAndStaySafe"
1243895813031460867,2020-03-28 13:40:46+00:00,Master of the day
1243709809838493696,2020-03-28 01:21:40+00:00,Bankrupt in 2020 (Retail): $CAKE $GME $JCP $BBBY $TACO $M Cause of death #Coronavirus
1243682008452059136,2020-03-27 23:31:11+00:00,Looking for online resources to enhance geriatric psychiatry learning for our residents in the middle of the COVID19 crisis.  #geriatricpsychiatry #geriatrics #AAGP #psychiatry #GME
1243653025387839488,2020-03-27 21:36:01+00:00,"$GME Dark Cloud Cover Pattern 
Daily appearances since 2010-01-19: 165
Performance (Close) 3 days later ±:
Avg: 0.03
Worst: -6.49
Best: 3.58 

5 days later:
Avg: 0.11
Worst: -6.77
Best: 4.86 

10 days later:
Avg: 0.12
Min: -11.59
Max: 6.93"
1243653020719525889,2020-03-27 21:36:00+00:00,"$GME Bearish Engulfing Pattern 
Daily appearances since 2010-01-19: 107
Performance (Close) 3 days later ±:
Avg: -0.01
Worst: -6.49
Best: 2.84 

5 days later:
Avg: 0.06
Worst: -6.77
Best: 4.85 

10 days later:
Avg: 0.05
Min: -7.94
Max: 6.93"
1243631327791861760,2020-03-27 20:09:48+00:00,"Inside day for the markets after 3 day rally. I'm bearish right now, with some mild upside protection. The bill is priced in, weekend headline risk isn't. My portfolio is ready for system shocks and Corona carnage. $SPY $UUP $GME"
1243629001567948800,2020-03-27 20:00:34+00:00,$GME just can’t understand why you all ran for the door this morning. 🤔🤔😂
1243602663805267969,2020-03-27 18:15:54+00:00,"Closed up my options trades this week. Finally have my new strategy up and running. Closes so far:
$F +80% (100% if I let it expire)
$GME -20% 
$ROKU -10%
$ROKU +88%
$ROKU 0% (looking like +100% if I held until expiration) 
Looking forward to starting new positions next week."
1243578418337382401,2020-03-27 16:39:34+00:00,"When you are the next Blockbuster and hold an inventory firesale in order to avoid bankruptcy, but how do you cover the cash burn for the next year without filing for BK? No more assets to sell.
$GME"
1243576645845426177,2020-03-27 16:32:31+00:00,$gme filled the gap
1243565508370354176,2020-03-27 15:48:16+00:00,$GME shorts are one of the strongest conviction mofos out there...
1243560150113357826,2020-03-27 15:26:58+00:00,Good morning ☀️
1243560100335431682,2020-03-27 15:26:46+00:00,"Another Day, Another Blessing #DailyTweet"
1243554267933356034,2020-03-27 15:03:36+00:00,gotta love those times when you have to stop yourself and try to calm down before you say something youll regret :) because someone is challenging your patience :)
1243547189940375552,2020-03-27 14:35:28+00:00,"10:35 Pops: $RM +4.6%, $GME +3.7%"
1243540577209196545,2020-03-27 14:09:12+00:00,"Call/Put Highest % Volume Changes: Calls: $APC, $ECA, $VIAB, $CELG, $SBGL  Puts: $APC, $CELG, $ECA, $WBA, $GME"
1243535664408338432,2020-03-27 13:49:40+00:00,"$GME price action getting nice and tight. If she breaks and holds $5, this could get ugly for shorts."
1243532325633359875,2020-03-27 13:36:24+00:00,"It is early, but that left for dead company $GME is breaking out"
1243530237444571136,2020-03-27 13:28:06+00:00,Watching: $LULU $GME $KBH $SPY $DJIA $QQQ 2nd Watch: #coronarvirus  #EARNINGS
1243530055214600199,2020-03-27 13:27:23+00:00,Today $GME might be a champ!
1243527044287401985,2020-03-27 13:15:25+00:00,Never mind me this wood just hitting different
1243526920614170624,2020-03-27 13:14:56+00:00,Then shit gone get crazy
1243526836073660416,2020-03-27 13:14:35+00:00,"🗣 That nigga Trump gone call for a state of emergency 🚨, and then he gone be president for another 4 years watch"
1243525903155638272,2020-03-27 13:10:53+00:00,"Equity day trade algo focus list $BKYI, $ASTC, $WORX, $MFA, $PHUN, $HOTH, $NYMT, $XAN, $IVR, $TRTX, $LADR, $TZOO, $BIMI, $TLRY, $WMC, $IFMK, $ANH, $GME"
1243524663743037441,2020-03-27 13:05:58+00:00,$GME trading at 3.5x adjusted Q4 earnings
1243523455414403078,2020-03-27 13:01:09+00:00,"Long Watches: $ZM, $AHPI, $UAL, $AAL, $GME! Short Watches: $TSLA, $SHOP, $BA, $MAR, $RCL!"
1243522532931784704,2020-03-27 12:57:30+00:00,"(US) Select Premarket Movers
$OSS +20%
$SPWH +12%
$GME +7.7%
$SAIC +4.8%
$KBH +3.6%
$SMG +1.3% 
$BGCP -20%
$NBY -13%
$TXMD -7.0%
$PRGS -5.9%
$ALT -4.6%
$LULU -3.7%
$VIAC -3.5%
$RTN -3.3%
$PEIX -2.8%
$UTX -2.8%
$JEF -1.2%
$SAVE -1.0%"
1243507910535233536,2020-03-27 11:59:23+00:00,"The short interest in $GME, ohhhhh weeeee..."
1243507446372618240,2020-03-27 11:57:33+00:00,"$GME exceeding expectations so far in this ""transitional"" year. Reductions in inventory by almost 1/3, accts payable down over 60%, and SG&amp;A expenses. The new web platform built out in back of 2019 had seen increased traffic as well.  Stock up over 10% pre-mkt"
1243479881993924608,2020-03-27 10:08:01+00:00,"Early gappers: $MFA, $NYMT, $IVR, $TRTX, $LITB, $GME, $IFMK."
