,tickers
BILL,1
EAST,1
CLS,2
CLVS,2
TLRY,9
BB,34
DISCB,9
AMC,169
PH,1
GME,559
NAKD,9
FUBO,3
YVR,1
MARA,4
SKT,2
APHA,4
TSLA,10
WAFU,3
OCGN,3
EV,8
ROOT,8
FREE,7
IDEX,6
CTRM,3
HEAR,2
DISCA,6
SQZ,1
ASLN,1
TISI,1
CYTH,1
RIOT,5
SOS,18
LAWS,2
LI,2
AUTO,2
PLTR,31
FCEL,3
WPRT,1
CLF,7
III,2
SEAC,3
RKT,44
CCIV,7
GNUS,3
PRLB,1
DTE,1
U,4
MARK,1
MRNA,1
HBI,1
AGFY,1
GSX,5
SNAP,3
SNDL,26
POST,2
G,7
HOFV,6
TA,2
HYLN,1
NEXT,10
PLAY,7
SPCE,9
RUN,1
BBIG,2
PLUG,5
MLND,1
GS,4
GNLN,1
LB,2
BTT,5
ABCL,3
CSCW,2
RMO,1
PXS,1
GLBS,1
AMTX,2
CD,4
GM,1
GRWG,1
BLNK,3
HIL,1
CUZ,1
CBD,1
WKHS,3
MA,1
AG,2
ASX,2
NSA,2
UI,1
SNCA,1
BIDU,1
STL,1
ACB,3
RKDA,2
BLI,1
CAT,1
VIAC,16
XL,5
BCRX,4
TELL,3
VERU,1
AAL,3
INO,2
R,2
NIO,13
T,4
ALEC,1
HIMX,1
DKNG,2
MOD,1
DAL,2
J,1
ATH,1
MTEX,1
DM,9
FAST,1
RAD,1
MSTR,4
RC,1
CS,1
ACM,1
HE,3
LGHL,3
WKEY,4
NYC,1
GEVO,1
JPM,1
MRO,1
KTRA,1
MT,1
PM,2
ET,1
PIXY,1
RSI,2
BRPA,3
CIDM,3
CHWY,6
Z,2
FOLD,1
THO,1
FB,2
COTY,1
PSEC,1
OGI,2
ASO,11
ACRX,1
NNDM,1
UAL,1
OSK,1
MRVI,1
DIS,1
MNPR,4
ARGO,2
MBRX,2
KTOS,4
COO,1
ADXS,2
SPWR,1
AESE,1
UWMC,7
CRM,2
ELF,1
GGB,1
C,1
MSM,1
NAV,1
CLIR,1
PPL,2
SLDB,1
SPNV,1
IPOE,1
LEE,1
GOCO,3
IRL,1
ATAC,1
SOLO,1
IR,1
BABA,1
BC,2
GILT,2
LOTZ,1
VTSI,1
GOEV,4
CGO,1
SKY,1
MS,3
PTE,1
BNTX,1
AFC,1
CAAS,1
EARS,1
EYES,1
TDA,2
CALM,1
FUV,1
FREQ,3
REAL,1
STMP,1
LAZR,3
CGIX,1
PRVB,1
SKLZ,2
GF,5
TD,4
Y,1
EXPE,2
NMTR,1
TRIT,1
PT,5
TRMB,1
FUND,1
CREG,1
DB,1
FLT,1
SAFE,2
PSA,4
BEST,2
SI,2
CCL,2
TBLT,1
ELYS,1
K,1
O,2
HGEN,2
MAC,1
SRNE,1
WB,1
JP,1
NOK,4
CALX,5
ADT,1
TME,1
WOW,1
MTBC,1
AI,1
MP,1
GPN,1
FOX,1
LMPX,2
MLM,1
FUN,1
PACK,1
LMT,1
KEY,1
WWR,1
PTON,1
DOW,1
IAG,1
HPR,1
WWE,1
GE,1
LIVE,3
AMZN,2
KOSS,2
SAIC,3
GOOD,1
DLPN,1
JNJ,1
HSDT,1
STPK,1
BOOM,1
CAR,2
APOP,1
ABNB,1
OPI,1
FSM,1
MIN,1
YJ,1
EIGR,1
FRO,1
CMA,1
SHIP,1
UNFI,1
KEN,2
STC,2
UNIT,1
PS,1
SAVE,1
SITE,1
POSH,1
ATNF,1
CNK,1
IMAX,1
VIR,1
BIO,4
CAP,2
NLS,1
HI,1
RBC,1
NYT,1
FENG,1
NPO,1
SLV,2
KR,2
HLT,1
AHAC,1
AR,1
AMRN,1
EC,1
SA,1
PLAN,1
EARN,2
RARE,1
AMD,2
CLOV,1
FRX,1
IMTE,1
BATRA,2
AJAX,1
PFSI,1
GTT,1
CWH,1
FT,1
INTC,1
